epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.7659,0.94774,4.15839,0.01389,0.88691,0.93851,0.97297,0.72736,0.93874,3.91292,0.02536,0.000661616,0.000661616,0.000661616
2,114.91,1.00016,2.24254,0.01425,0.96182,0.95469,0.99027,0.77815,0.83025,1.13507,0.02259,0.00130198,0.00130198,0.00130198
3,142.53,1.05076,1.48125,0.01551,0.94339,0.97411,0.98603,0.71847,1.02389,0.67532,0.03172,0.00191595,0.00191595,0.00191595
4,169.943,1.04093,1.02949,0.01564,0.97693,0.95935,0.99259,0.72972,0.98574,0.36774,0.02716,0.0018812,0.0018812,0.0018812
5,197.253,1.00434,0.7945,0.01443,0.9612,0.96217,0.98732,0.72638,0.97969,0.39948,0.02963,0.0018416,0.0018416,0.0018416
6,224.697,0.96329,0.64577,0.01369,0.95816,0.95469,0.99006,0.73962,0.95476,0.33756,0.02828,0.001802,0.001802,0.001802
7,253.064,0.94922,0.5686,0.01311,0.96077,0.96117,0.99104,0.78261,0.80215,0.28592,0.02148,0.0017624,0.0017624,0.0017624
8,280.616,0.99973,0.53167,0.0142,0.98072,0.98754,0.99438,0.81524,0.70112,0.23185,0.01775,0.0017228,0.0017228,0.0017228
9,307.958,0.91978,0.46452,0.0128,0.98016,0.95927,0.99335,0.79305,0.79916,0.28432,0.02201,0.0016832,0.0016832,0.0016832
10,335.374,0.94158,0.4307,0.01311,0.99213,0.98706,0.99474,0.79539,0.79525,0.22872,0.02152,0.0016436,0.0016436,0.0016436
11,362.728,0.90466,0.4062,0.0129,0.98086,0.9949,0.99478,0.74932,0.93199,0.25832,0.02527,0.001604,0.001604,0.001604
12,389.933,0.88152,0.39393,0.01219,0.99672,0.98198,0.99478,0.82224,0.67386,0.20314,0.01768,0.0015644,0.0015644,0.0015644
13,417.356,0.8817,0.37165,0.01275,0.98819,0.97411,0.99393,0.81939,0.69245,0.21384,0.01814,0.0015248,0.0015248,0.0015248
